date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-29,194.78,199.68,194.65,199.15,5933505,5933505,4.84,2.491,197.935,"Apr 29, 13",-0.022768536238284443
2013-04-30,199.13,202.59,197.35,202.54,7540460,7540460,3.39,1.702,200.6804,"Apr 30, 13",-0.006133765150399922
2013-05-01,201.87,202.17,199.2,199.63,4899267,4899267,-2.91,-1.437,200.4065,"May 1, 13",-0.020413170420530924
2013-05-02,200.12,202.43,199.75,202.39,3945439,3945439,2.76,1.383,201.3568,"May 2, 13",-0.00686981696844794
2013-05-03,203.94,205.319,203.75,204.51,4492624,4492624,2.12,1.047,204.6827,"May 3, 13",0.003533048726630349
2013-05-06,203.79,203.99,201.52,202.78,4827041,4827041,-1.73,-0.846,202.5591,"May 6, 13",-0.004956082241523092
2013-05-07,202.81,203.73,201.65,203.63,3429665,3429665,0.85,0.419,202.9256,"May 7, 13",-0.0007851219392511732
2013-05-08,202.94,204.85,202.51,204.82,3601645,3601645,1.19,0.584,204.0794,"May 8, 13",0.005054222483929541
2013-05-09,204.69,205,202.72,203.24,3542206,3542206,-1.58,-0.771,203.7525,"May 9, 13",-0.0026988566661758817
2013-05-10,203.37,204.53,202.82,204.47,3279558,3279558,1.23,0.605,203.9314,"May 10, 13",0.003336768241817591
2013-05-13,204.18,204.47,202.22,202.47,3648033,3648033,-2,-0.978,202.9224,"May 13, 13",-0.006477255998822284
2013-05-14,202.09,203.67,202.08,203.21,3701203,3701203,0.74,0.365,203.0758,"May 14, 13",-0.0028460670297854856
2013-05-15,202.25,203.6799,202.04,203.32,4027870,4027870,0.11,0.054,203.0113,"May 15, 13",-0.002306295696550365
2013-05-16,204,206.59,204,204.69,4506972,4506972,1.37,0.674,205.3027,"May 16, 13",0.004416310908287971
2013-05-17,205.25,209.5,204.99,208.44,5704295,5704295,3.75,1.832,207.2814,"May 17, 13",0.022817606359487735
2013-05-20,208.02,209.15,207.42,207.6,3614453,3614453,-0.84,-0.403,208.2048,"May 20, 13",0.01869571617841897
2013-05-21,207.24,209.48,207,208.65,2981691,2981691,1.05,0.506,208.7658,"May 21, 13",0.023848078904754964
2013-05-22,208.5,210.15,206.121,206.99,5187031,5187031,-1.66,-0.796,208.4127,"May 22, 13",0.015702438785023882
2013-05-23,205.48,208.61,205.13,206.16,5180340,5180340,-0.83,-0.401,207.2219,"May 23, 13",0.011629618725158273
2013-05-24,204.69,206.43,204.42,205.72,3295637,3295637,-0.44,-0.213,205.5696,"May 24, 13",0.009470533392217513
2013-05-28,207.44,208.59,207.16,207.78,4010644,4010644,2.06,1.001,207.9873,"May 28, 13",0.019578978360076594
2013-05-29,206.22,208.42,206.04,207.92,3439313,3439313,0.14,0.067,207.4068,"May 29, 13",0.020265960056921318
2013-05-30,206.97,210.99,206.97,209.36,4399697,4399697,1.44,0.693,209.8942,"May 30, 13",0.027332057510182157
2013-05-31,208.59,211.98,208.02,208.02,4950106,4950106,-1.34,-0.64,209.7426,"May 31, 13",0.020756661268953425
2013-06-03,208.25,210.05,207.33,208.95,3323648,3323648,0.93,0.447,208.6176,"Jun 3, 13",0.02532018254085086
2013-06-04,208.6,209,205.08,206.19,3598199,3598199,-2.76,-1.321,206.862,"Jun 4, 13",0.011776829088767878
2013-06-05,205.16,206.29,202.4,202.74,4215365,4215365,-3.45,-1.673,204.0069,"Jun 5, 13",-0.005152362726335851
2013-06-06,203,204.2,201.47,203.8,3679532,3679532,1.06,0.523,202.9328,"Jun 6, 13",0.00004907012120329421
2013-06-07,204.85,206.35,204.11,206.35,2953340,2953340,2.55,1.251,205.4616,"Jun 7, 13",0.01256195102801905
2013-06-10,206.97,206.98,204.9,205.02,2652220,2652220,-1.33,-0.645,205.4756,"Jun 10, 13",0.0060356249079936124
2013-06-11,203.17,205.95,202.51,203.98,2814520,2814520,-1.04,-0.507,204.3172,"Jun 11, 13",0.000932332302860777
2013-06-12,204.59,205.23,200.51,201.2,3409755,3409755,-2.78,-1.363,202.0689,"Jun 12, 13",-0.012709161391628655
2013-06-13,201.01,204.4,200.34,203.77,2899698,2899698,2.57,1.277,202.4838,"Jun 13, 13",-0.0000981402424063095
2013-06-14,203.97,204.745,201.81,202.2,2804459,2804459,-1.57,-0.77,202.7687,"Jun 14, 13",-0.007802149271308717
2013-06-17,203.44,205.1713,202.55,203.04,3220009,3220009,0.84,0.415,203.85,"Jun 17, 13",-0.003680259090239953
2013-06-18,203.02,206.09,202.87,204.87,3278051,3278051,1.83,0.901,205.0191,"Jun 18, 13",0.005299573089945594
2013-06-19,204.44,205.03,201.93,201.94,2846004,2846004,-2.93,-1.43,203.3876,"Jun 19, 13",-0.009077972422591856
2013-06-20,200.67,201.7,197.28,197.35,4516229,4516229,-4.59,-2.273,198.6394,"Jun 20, 13",-0.031601158054860384
