date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-02-28,78.55,78.94,78.16,78.2,798163,798163,-0.4,-0.509,78.4345,"Feb 28, 13",-0.03978388998035357
2013-03-01,78.25,78.94,77.72,78.68,779940,779940,0.48,0.614,78.3758,"Mar 1, 13",-0.03388998035363447
2013-03-04,79.21,80.05,79.03,79.92,611372,611372,1.24,1.576,79.5811,"Mar 4, 13",-0.018664047151276966
2013-03-05,80.9,82.25,80.88,81.87,1373145,1373145,1.95,2.44,81.6679,"Mar 5, 13",0.005279960707269239
2013-03-06,82.93,83.2,82.09,82.69,1442505,1442505,0.82,1.002,82.6399,"Mar 6, 13",0.015348722986247544
2013-03-07,83.67,84.03,83.25,83.44,1248049,1248049,0.75,0.907,83.6218,"Mar 7, 13",0.024557956777996073
2013-03-08,82.91,83.36,82.5401,83.21,867681,867681,-0.23,-0.276,83.0639,"Mar 8, 13",0.021733791748526476
2013-03-11,82.93,83.48,82.79,83.25,652140,652140,0.04,0.048,83.1797,"Mar 11, 13",0.02222495088408647
2013-03-12,83.84,83.85,82.7,82.89,503459,503459,-0.36,-0.432,83.2638,"Mar 12, 13",0.017804518664047187
2013-03-13,82.83,83.02,82.45,82.62,440758,440758,-0.27,-0.326,82.775,"Mar 13, 13",0.014489194499017767
2013-03-14,83.65,84.661,83.43,84.57,925069,925069,1.95,2.36,84.1134,"Mar 14, 13",0.0384332023575638
2013-03-15,84.54,84.64,83.93,84.58,929374,929374,0.01,0.012,84.4782,"Mar 15, 13",0.03855599214145384
2013-03-18,82.72,83.68,82.61,82.98,838462,838462,-1.6,-1.892,83.0822,"Mar 18, 13",0.018909626719057052
2013-03-19,83.29,83.58,81.87,82.6,847395,847395,-0.38,-0.458,82.5914,"Mar 19, 13",0.014243614931237679
2013-03-20,83.46,83.58,82.85,83.19,540824,540824,0.59,0.714,83.1947,"Mar 20, 13",0.021488212180746563
2013-03-21,81.08,81.49,80.66,80.72,2148620,2148620,-2.47,-2.969,81.0839,"Mar 21, 13",-0.008840864440078571
2013-03-22,81.09,81.58,80.61,81.04,1543742,1543742,0.32,0.396,81.0137,"Mar 22, 13",-0.00491159135559911
2013-03-25,81.58,81.829,79.63,79.86,1198528,1198528,-1.18,-1.456,80.5303,"Mar 25, 13",-0.019400785854616874
2013-03-26,79.72,80.27,79.29,80.27,1016844,1016844,0.41,0.513,79.9307,"Mar 26, 13",-0.014366404715127722
2013-03-27,78.7,79.32,78.33,79.18,1656474,1656474,-1.09,-1.358,78.9969,"Mar 27, 13",-0.02775049115913545
2013-03-28,79.51,80.68,79.38,80.54,1873794,1873794,1.36,1.718,80.0659,"Mar 28, 13",-0.011051080550098128
2013-04-01,80.63,80.68,79.84,80.11,732035,732035,-0.43,-0.534,80.2017,"Apr 1, 13",-0.016331041257367368
2013-04-02,80.46,81.22,80.46,80.79,1423534,1423534,0.68,0.849,80.7884,"Apr 2, 13",-0.007981335952848619
2013-04-03,81.14,81.27,79.99,80.24,989650,989650,-0.55,-0.681,80.5205,"Apr 3, 13",-0.014734774066797678
2013-04-04,79.79,80.34,78.755,79.61,1198453,1198453,-0.63,-0.785,79.4322,"Apr 4, 13",-0.022470530451866384
2013-04-05,78.25,78.43,77.44,77.74,2002054,2002054,-1.87,-2.349,77.8611,"Apr 5, 13",-0.045432220039292766
2013-04-08,78.31,78.6,77.77,77.94,1261299,1261299,0.2,0.257,78.0799,"Apr 8, 13",-0.042976424361493126
2013-04-09,77.63,78.32,77.01,77.88,1672013,1672013,-0.06,-0.077,77.617,"Apr 9, 13",-0.043713163064833034
2013-04-10,77.15,78.25,77.13,78.06,1273021,1273021,0.18,0.231,77.8015,"Apr 10, 13",-0.041502946954813304
2013-04-11,77.45,79.015,77.35,78.91,2358562,2358562,0.85,1.089,78.3584,"Apr 11, 13",-0.031065815324165046
2013-04-12,77.49,78.1899,77.41,78.01,2163843,2163843,-0.9,-1.141,77.8184,"Apr 12, 13",-0.04211689587426317
2013-04-15,77.26,77.49,76.45,76.45,1731351,1731351,-1.56,-2,77.0769,"Apr 15, 13",-0.061272102161100135
2013-04-16,78.75,78.96,77.94,78.87,1176693,1176693,2.42,3.165,78.5322,"Apr 16, 13",-0.03155697445972487
2013-04-17,77.84,77.84,76.48,76.88,1867047,1867047,-1.99,-2.523,77.1782,"Apr 17, 13",-0.05599214145383107
2013-04-18,77.81,78.64,76.94,78.21,2306411,2306411,1.33,1.73,78.0864,"Apr 18, 13",-0.039661100196463704
2013-04-19,75.97,76.65,74.76,75.11,4379446,4379446,-3.1,-3.964,75.5623,"Apr 19, 13",-0.07772593320235754
2013-04-22,75.13,75.17,74.12,74.69,2010403,2010403,-0.42,-0.559,74.5953,"Apr 22, 13",-0.08288310412573674
2013-04-23,74.96,75.8,74.93,75.44,1676249,1676249,0.75,1.004,75.3639,"Apr 23, 13",-0.07367387033398821
2013-04-24,76.7,77.92,76.51,77.53,1467301,1467301,2.09,2.77,77.1611,"Apr 24, 13",-0.04801080550098228
2013-04-25,78.21,78.97,78.18,78.62,1046283,1046283,1.09,1.406,78.6251,"Apr 25, 13",-0.03462671905697438
2013-04-26,77.64,78.21,77.5,77.98,807529,807529,-0.64,-0.814,77.9184,"Apr 26, 13",-0.04248526522593313
2013-04-29,78.2,79,78.1,78.79,1005096,1005096,0.81,1.039,78.6434,"Apr 29, 13",-0.03253929273084469
2013-04-30,78.9,79.85,78.76,79.85,878398,878398,1.06,1.345,79.4926,"Apr 30, 13",-0.01952357563850692
2013-05-01,79.82,80.21,78.73,78.87,721360,721360,-0.98,-1.227,79.3047,"May 1, 13",-0.03155697445972487
2013-05-02,78.51,78.92,78.39,78.69,1296984,1296984,-0.18,-0.228,78.7367,"May 2, 13",-0.0337671905697446
2013-05-03,80.11,81.7,80.05,81.44,1347099,1347099,2.75,3.495,80.9401,"May 3, 13",0
2013-05-06,81.32,81.73,80.96,81.14,531725,531725,-0.3,-0.368,81.3385,"May 6, 13",-0.0036836935166993756
2013-05-07,82.26,82.32,81.56,81.89,654711,654711,0.75,0.924,81.8531,"May 7, 13",0.005525540275049151
2013-05-08,82.7,83.13,82.28,82.75,1245369,1245369,0.86,1.05,82.7157,"May 8, 13",0.016085461689587455
2013-05-09,82.21,82.41,81.59,81.88,719880,719880,-0.87,-1.051,81.9941,"May 9, 13",0.005402750491159108
2013-05-10,82.22,82.63,81.8,82.38,1147740,1147740,0.5,0.611,82.132,"May 10, 13",0.011542239685658125
2013-05-13,82.53,82.63,81.99,82.07,563764,563764,-0.31,-0.376,82.3048,"May 13, 13",0.007735756385068707
2013-05-14,82.63,83.35,82.6,83.11,830977,830977,1.04,1.267,82.8811,"May 14, 13",0.02050589390962674
